gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lpar1,Astro,1.552998176223094e-12,-0.4378585088908295,0.004,0.074,3.2612961700684977e-8
Gpcpd1,Astro,1.785035885015636e-12,-0.6371603330271041,0.094,0.24,3.7485753585328354e-8
Gnao1,Astro,1.8320346571167337e-12,0.43002196275915905,0.866,0.726,3.8472727799451406e-8
Uba52,Astro,2.122856559778564e-12,-0.5348737527538165,0.171,0.346,4.457998775534984e-8
Cib2,Astro,2.181366371844141e-12,-0.4075520541104073,0.034,0.143,4.580869380872696e-8
Tceb2,Astro,2.609693653768004e-12,-0.4382233551108796,0.76,0.83,5.4803566729128085e-8
Adk,Astro,2.673852596713758e-12,0.5279148693022457,0.79,0.642,5.6150904530988914e-8
Fam176b,Astro,2.7321537065048792e-12,-0.33755638959687745,0.008,0.084,5.737522783660246e-8
Prdx6,Astro,2.829550849241862e-12,0.30281902733985877,0.999,0.98,5.9420567834079104e-8
Brp44,Astro,2.8307794004169736e-12,-0.50986927326044,0.549,0.706,5.9446367408756444e-8
Ap4s1,Astro,2.959350856613503e-12,-0.2664591351153611,0.02,0.116,6.214636798888356e-8
Zfp706,Astro,3.033123123746942e-12,-0.5313768425052955,0.277,0.464,6.369558559868578e-8
Aqp4,Astro,3.0970956007167384e-12,0.3366268178408043,0.857,0.64,6.503900761505151e-8
Akt1s1,Astro,3.2779640316525005e-12,-0.39041818062226735,0.073,0.212,6.883724466470251e-8
Hsbp1,Astro,3.467481916682629e-12,-0.45128299801658933,0.766,0.854,7.281712025033521e-8
Ass1,Astro,3.749196341620925e-12,0.5735745347202355,0.267,0.094,7.873312317403943e-8
Strap,Astro,3.933320701978309e-12,-0.37176099527842504,0.08,0.225,8.259973474154448e-8
Mrps26,Astro,4.048295507642081e-12,-0.4750601696067046,0.09,0.235,8.501420566048369e-8
Dpysl2,Astro,4.072255380126801e-12,-0.6358931231205609,0.511,0.649,8.551736298266281e-8
Gpc5,Astro,4.145897125995063e-12,0.5211369019605838,0.512,0.294,8.706383964589632e-8
Gemin7,Astro,4.794798489742303e-12,-0.45158485791308656,0.109,0.264,1.0069076828458837e-7
Chi3l1,Astro,5.1082922974189626e-12,0.5998367342400477,0.384,0.183,1.0727413824579821e-7
Timm8b,Astro,5.271803822944211e-12,-0.47656398862283966,0.646,0.76,1.1070788028182842e-7
Cox6a1,Astro,5.69616730178121e-12,-0.3832830702048047,0.87,0.933,1.1961951333740543e-7
Dhrs3,Astro,6.7789598954751794e-12,0.5672040261177579,0.383,0.185,1.4235815780497876e-7
Ube2d3,Astro,6.795676257041686e-12,-0.5053830359223698,0.264,0.454,1.427092013978754e-7
Igfbp5,Astro,7.625404175974969e-12,-1.486470235164834,0.145,0.291,1.6013348769547436e-7
Rmst,Astro,8.356476661474211e-12,0.6356370406454699,0.411,0.225,1.7548600989095843e-7
Gstt1,Astro,8.663801306565458e-12,0.5655039839912452,0.295,0.119,1.8193982743787462e-7
Mkrn1,Astro,8.838704441468106e-12,-0.5006028798257796,0.076,0.212,1.8561279327083023e-7
Pafah1b1,Astro,1.0052859078810345e-11,-0.5953490040047291,0.277,0.435,2.1111004065501725e-7
Ube2s,Astro,1.1789079543868043e-11,-0.3823381549123964,0.056,0.178,2.475706704212289e-7
Kif5b,Astro,1.2502292220919146e-11,-0.5821791898517882,0.263,0.435,2.625481366393021e-7
Prelp,Astro,1.2889820618627366e-11,0.5783474720723666,0.227,0.072,2.706862329911747e-7
Ezr,Astro,1.302509003871709e-11,0.4645142687235797,0.82,0.652,2.735268908130589e-7
2410003K15Rik,Astro,1.3473288414001184e-11,-0.31600481468357466,0.026,0.123,2.8293905669402484e-7
Socs3,Astro,1.533276679380692e-11,-0.5987743147000428,0.036,0.141,3.219881026699453e-7
Smpd2,Astro,1.556009773477348e-11,0.5304977953848922,0.481,0.272,3.267620524302431e-7
Cnbp,Astro,1.57076384806134e-11,0.43370547095668854,0.795,0.669,3.298604080928814e-7
Atox1,Astro,1.6838530742231886e-11,-0.5645635081671223,0.488,0.632,3.536091455868696e-7
Pgm2,Astro,1.765363198615945e-11,0.5706227150010652,0.526,0.331,3.7072627170934844e-7
Luzp2,Astro,1.9978181061459014e-11,0.6157139866053984,0.431,0.237,4.195418022906393e-7
Serp1,Astro,2.0179832316883185e-11,-0.40433204835933717,0.083,0.22,4.2377647865454686e-7
Sema6a,Astro,2.0519160399647273e-11,-0.5681691770764946,0.036,0.141,4.309023683925927e-7
4632427E13Rik,Astro,2.1560191225903996e-11,0.5790038957898619,0.434,0.254,4.527640157439839e-7
Luc7l3,Astro,2.3885958101556648e-11,0.5301728254199962,0.637,0.469,5.016051201326897e-7
Ifit3,Astro,2.4094460339234957e-11,0.4857545539517767,0.161,0.03,5.059836671239341e-7
Cd9,Astro,2.4652923276202813e-11,-0.8093516979482447,0.461,0.607,5.177113888002591e-7
Uqcrq,Astro,2.4807036215190236e-11,-0.3938080250388958,0.857,0.894,5.20947760518995e-7
Slc6a6,Astro,2.5238449115530883e-11,-0.5225238163745202,0.065,0.193,5.300074314261485e-7
Efemp1,Astro,2.701838020881746e-11,0.5175916515664443,0.16,0.032,5.673859843851667e-7
Slc38a3,Astro,2.7832597142149575e-11,0.4932007834509864,0.506,0.289,5.84484539985141e-7
Fez1,Astro,2.9585471727736844e-11,-0.41310848745469153,0.765,0.877,6.212949062824738e-7
Ppdpf,Astro,3.0185673344395567e-11,-0.5210360915702485,0.481,0.632,6.338991402323069e-7
Srrm2,Astro,3.482865304249725e-11,-0.5330384333468916,0.354,0.523,7.314017138924423e-7
Rexo1,Astro,3.5456883673885695e-11,-0.3567661151201958,0.06,0.183,7.445945571515996e-7
Tecr,Astro,3.639087664731166e-11,0.31271428676989776,0.942,0.916,7.642084095935448e-7
Cxx1b,Astro,4.0481655805691964e-11,-0.4121905864771352,0.12,0.274,8.501147719195313e-7
Selenbp1,Astro,4.6587767207456944e-11,0.5936038394400973,0.37,0.183,9.783431113565958e-7
Bcas1,Astro,4.795014476722436e-11,-0.366257155929959,0.011,0.086,1.0069530401117115e-6
